0,1900
0,1901
0,1902
0,1903
0,1904
0,1905
0,1906
0,1907
0,1908
0,1909
0,1910
0,1911
0,1912
0,1913
0,1914
0,1915
0,1916
0,1917
0,1918
0,1919
0,1920
0,1921
3,1922
0,1923
0,1924
0,1925
0,1926
4,1927
1,1928
1,1929
0,1930
0,1931
0,1932
0,1933
0,1934
0,1935
0,1936
1,1937
0,1938
1,1939
0,1940
0,1941
0,1942
1,1943
0,1944
1,1945
1,1946
0,1947
2,1948
1,1949
5,1950
1,1951
6,1952
5,1953
7,1954
8,1955
39,1956
40,1957
48,1958
81,1959
65,1960
59,1961
101,1962
144,1963
171,1964
266,1965
296,1966
415,1967
497,1968
511,1969
596,1970
576,1971
613,1972
580,1973
582,1974
595,1975
568,1976
678,1977
920,1978
964,1979
1025,1980
976,1981
1092,1982
1128,1983
1062,1984
1147,1985
1334,1986
1473,1987
1523,1988
1790,1989
2053,1990
2204,1991
2612,1992
2836,1993
3057,1994
3376,1995
3721,1996
4057,1997
3867,1998
4561,1999
4819,2000
5634,2001
5811,2002
7272,2003
7249,2004
8495,2005
8756,2006
10220,2007
8447,2008
7559,2009
2862,2010
